location_name,address,location_type,location_description,listing_title,listing_type,listing_description,listing_amenities,daily_price,weekly_price,monthly_price,folder_referrence
Home garage,"265 Buckingham Way, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Travel Trailer,Trailer,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),50,500,1500,1
Home garage,"266 Buckingham Way, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Awesome RV with tons of room,Motorhome,"The 24DL is a must for any rental. Experience the motor home lifestyle at a new level with its impressive turning radius, four-wheel ABS, independent front suspension, and amazingly spacious and comfortable interior.",(all),50,300,1100,2
Home garage,"267 Buckingham Way, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Larger 5th wheel trailer,Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),50,700,2800,3
The place where I store my RV,"148 Caine Avenue, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Great for road trips!,Trailer,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),50,350,1100,4
The place where I store my RV,"149 Caine Avenue, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Very spacious with great gas mileage!,Trailer,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),75,700,2000,5
Easy accesss location,"Clement Street, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.","Sealy RV, can't go wrong!",Motorhome,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),150,500,2000,6
Easy accesss location,"Clement Street, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Nothing beats a model S5,Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),25,150,500,7
Where the RV is stored,"Castro, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Class A motorhome,Motorhome,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),15,100,400,8
Where the RV is stored,"Castro, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Class C motorhome,Motorhome,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),50,,2000,9
Where the RV is stored,"Castro, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.","Beautiful, Class A camper",Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),,200,2000,10
Embarcadero,"Embarcadero Center, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.","Class A, beautiful motorhome for the family",Motorhome,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),,500,,11
Embarcadero,"Embarcadero Center, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Class B campervan,Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),,1000,,12
Embarcadero,"Embarcadero Center, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Fully furnished motorhome,Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),50,,2000,13
Garage at home,"123 Mission Street, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Class A motor Home Rental,Trailer,"Nice floor plans with SuperSlide giving you a larger bathroom, closet space, dinette, sofa and kitchen. Fully equipped, automatic transmission, dash air, cruise control, power steering, power brakes, dual battery system, bucket seats, deluxe mirrors.",(all),100,600,2000,14
Garage at home,"124 Mission Street, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.","Amazingly large, beautiful RV for trips",Campervan,"Nice floor plans with SuperSlide giving you a larger bathroom, closet space, dinette, sofa and kitchen. Fully equipped, automatic transmission, dash air, cruise control, power steering, power brakes, dual battery system, bucket seats, deluxe mirrors.",(all),100,500,1800,15
Garage at home,"125 Mission Street, San Francisco, CA, United States",Private garage,"This is where I store the RV - this is also my home. I have a large garage where I store the RV, but it is very accessible. The garage itself is large enough to store the RV and other equipment.","Huge, beautiful RV for road trips!",Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),50,500,2000,16
Soma,"SoMa, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.","Great RV, perfect for road trips",Trailer,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),,,4000,17
Soma,"SoMa, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.","Beautiful, Class A motorhome",Motorhome,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),80,300,1000,18
Soma,"SoMa, San Francisco, CA, United States",Public garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Class A RV rental,Campervan,"Accommodates 4 - 8 people for sleeping on some models: These trailers are the perfect size for small families, these models come equipped with kitchen, microwave, stove top, refrigerator, air conditioning, forced heater, awning, plus much more!!",(all),45,,2000,19
Private garage,"Los Angeles, CA, United States",Private garage,"Located in Los Angeles, this public garage stores RVs of all types. You won't miss the garage, just head on in and give the appropriate information in order to get the RV. If you need any help, call and I will come deal with issues around storage.",Luxury at its finest,Trailer,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure d",(all),25,,2000,20
Santa Monica,"Santa Monica, CA, United States",Private garage,"Located in Los Angeles, this public garage stores RVs of all types. You won't miss the garage, just head on in and give the appropriate information in order to get the RV. If you need any help, call and I will come deal with issues around storage.","Model SX-10, nothing beats this experience!",Trailer,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure d",(all),50,,2000,21
Santa Monica,"Santa Monica, CA, United States",Private garage,"Located in Los Angeles, this public garage stores RVs of all types. You won't miss the garage, just head on in and give the appropriate information in order to get the RV. If you need any help, call and I will come deal with issues around storage.",Luxurious and Spacious - The perfect RV,Motorhome,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure d",(all),50,400,2000,22
Long Beach,"Long Beach, CA, United States",Private garage,"Located in Los Angeles, this public garage stores RVs of all types. You won't miss the garage, just head on in and give the appropriate information in order to get the RV. If you need any help, call and I will come deal with issues around storage.","Series 5 Camper, ready to go",Campervan,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure d",(all),500,,,23
Long Beach,"Long Beach, CA, United States",Private garage,"Located in Los Angeles, this public garage stores RVs of all types. You won't miss the garage, just head on in and give the appropriate information in order to get the RV. If you need any help, call and I will come deal with issues around storage.",Awesome RV,Trailer,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure d",(all),300,,1200,24
Private garage,"Los Angeles, CA, United States",Private garage,"Located in Los Angeles, this public garage stores RVs of all types. You won't miss the garage, just head on in and give the appropriate information in order to get the RV. If you need any help, call and I will come deal with issues around storage.",Amazing camper!,Trailer,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure d",(all),100,500,2000,25
Bernal Heights,"Bernal Heights, San Francisco, CA, United States",Private garage,"My home, where I store our RV in a large garage on our property. Easy to find and access, large drive way makes accessing and picking up the RV very simple. Code to get in the gate is 5555.",Great motorhome!,Motorhom,"Great RV! This will take you where you need to go, in style and comfort. Never had a problem with it, has been the source of many awesome road trips with the family. Yours to rent for a very low price.",(all),50,500,1500,26
