Location,Suburb,Postcode,State,Zone
ABBOTSBURY 2176,Abbotsbury,2176,New South Wales,Sydney
ABBOTSFORD 2046,Abbotsford,2046,New South Wales,Sydney
ABBOTSFORD 3067,Abbotsford,3067,Victoria,Melbourne
ABERCROMBIE 2795,Abercrombie,2795,New South Wales,Remote
ABERDARE 2325,Aberdare,2325,New South Wales,Newcastle
ABERFELDIE 3040,Aberfeldie,3040,Victoria,Melbourne
ABERFOYLE PARK 5159,Aberfoyle Park,5159,South Australia,Adelaide
ABERGLASSLYN 2320,Aberglasslyn,2320,New South Wales,Newcastle
ABERMAIN 2326,Abermain,2326,New South Wales,Newcastle
ACACIA GARDENS 2763,Acacia Gardens,2763,New South Wales,Sydney
ACACIA RIDGE 4110,Acacia Ridge,4110,Queensland,Brisbane
ACACIA RIDGE DC 4110,Acacia Ridge Dc,4110,Queensland,Brisbane
ACTON 2601,Acton,2601,Australian Capital Territory,Canberra
ACTON 7320,Acton,7320,Tasmania,Launceston
ACTON PARK 7170,Acton Park,7170,Tasmania,Hobart
ADAMSTOWN 2289,Adamstown,2289,New South Wales,Newcastle
ADAMSTOWN HEIGHTS 2289,Adamstown Heights,2289,New South Wales,Newcastle
ADARE 4343,Adare,4343,Queensland,Toowoomba
ADELAIDE 5000,Adelaide,5000,South Australia,Adelaide
ADELAIDE BC 5000,Adelaide Bc,5000,South Australia,Adelaide
ADELAIDE UNIVERSITY 5005,Adelaide University,5005,South Australia,Adelaide
ADVANCETOWN 4211,Advancetown,4211,Queensland,Gold Coast
AEROGLEN 4870,Aeroglen,4870,Queensland,Cairns
AGNES BANKS 2753,Agnes Banks,2753,New South Wales,Sydney
AINSLIE 2602,Ainslie,2602,Australian Capital Territory,Canberra
AIRDS 2560,Airds,2560,New South Wales,Sydney
AIREYS INLET 3231,Aireys Inlet,3231,Victoria,Geelong
AIRLIE BEACH 4802,Airlie Beach,4802,Queensland,Mackay
AIRPORT WEST 3042,Airport West,3042,Victoria,Melbourne
AITKENVALE 4814,Aitkenvale,4814,Queensland,Townsville
ALABAMA HILL 4820,Alabama Hill,4820,Queensland,Townsville
ALAWA 0810,Alawa,0810,Northern Territory,Remote
