suburb,postcode,suburb_postcode,state_long,zone
Barangaroo,2000,BARANGAROO 2000,New South Wales,Sydney
Dawes Point,2000,DAWES POINT 2000,New South Wales,Sydney
Haymarket,2000,HAYMARKET 2000,New South Wales,Sydney
Millers Point,2000,MILLERS POINT 2000,New South Wales,Sydney
Parliament House,2000,PARLIAMENT HOUSE 2000,New South Wales,Sydney
Sydney,2000,SYDNEY 2000,New South Wales,Sydney
Sydney South,2000,SYDNEY SOUTH 2000,New South Wales,Sydney
The Rocks,2000,THE ROCKS 2000,New South Wales,Sydney
World Square,2002,WORLD SQUARE 2002,New South Wales,Sydney
Alexandria Mc,2004,ALEXANDRIA MC 2004,New South Wales,Sydney
Eastern Suburbs Mc,2004,EASTERN SUBURBS MC 2004,New South Wales,Sydney
The University Of Sydney,2006,THE UNIVERSITY OF SYDNEY 2006,New South Wales,Sydney
Broadway,2007,BROADWAY 2007,New South Wales,Sydney
Ultimo,2007,ULTIMO 2007,New South Wales,Sydney
Chippendale,2008,CHIPPENDALE 2008,New South Wales,Sydney
Darlington,2008,DARLINGTON 2008,New South Wales,Sydney
Pyrmont,2009,PYRMONT 2009,New South Wales,Sydney
Darlinghurst,2010,DARLINGHURST 2010,New South Wales,Sydney
Surry Hills,2010,SURRY HILLS 2010,New South Wales,Sydney
Elizabeth Bay,2011,ELIZABETH BAY 2011,New South Wales,Sydney
Potts Point,2011,POTTS POINT 2011,New South Wales,Sydney
Rushcutters Bay,2011,RUSHCUTTERS BAY 2011,New South Wales,Sydney
Woolloomooloo,2011,WOOLLOOMOOLOO 2011,New South Wales,Sydney
Strawberry Hills,2012,STRAWBERRY HILLS 2012,New South Wales,Sydney
Alexandria,2015,ALEXANDRIA 2015,New South Wales,Sydney
Beaconsfield,2015,BEACONSFIELD 2015,New South Wales,Sydney
Eveleigh,2015,EVELEIGH 2015,New South Wales,Sydney
Redfern,2016,REDFERN 2016,New South Wales,Sydney
Waterloo,2017,WATERLOO 2017,New South Wales,Sydney
Zetland,2017,ZETLAND 2017,New South Wales,Sydney
Eastlakes,2018,EASTLAKES 2018,New South Wales,Sydney
Rosebery,2018,ROSEBERY 2018,New South Wales,Sydney
Banksmeadow,2019,BANKSMEADOW 2019,New South Wales,Sydney
Botany,2019,BOTANY 2019,New South Wales,Sydney
Mascot,2020,MASCOT 2020,New South Wales,Sydney
Sydney Domestic Airport,2020,SYDNEY DOMESTIC AIRPORT 2020,New South Wales,Sydney
Sydney International Airport,2020,SYDNEY INTERNATIONAL AIRPORT 2020,New South Wales,Sydney
Centennial Park,2021,CENTENNIAL PARK 2021,New South Wales,Sydney
Moore Park,2021,MOORE PARK 2021,New South Wales,Sydney
Paddington,2021,PADDINGTON 2021,New South Wales,Sydney
Bondi Junction,2022,BONDI JUNCTION 2022,New South Wales,Sydney
Queens Park,2022,QUEENS PARK 2022,New South Wales,Sydney
Bellevue Hill,2023,BELLEVUE HILL 2023,New South Wales,Sydney
Bronte,2024,BRONTE 2024,New South Wales,Sydney
Waverley,2024,WAVERLEY 2024,New South Wales,Sydney
Woollahra,2025,WOOLLAHRA 2025,New South Wales,Sydney
Bondi,2026,BONDI 2026,New South Wales,Sydney
Bondi Beach,2026,BONDI BEACH 2026,New South Wales,Sydney
North Bondi,2026,NORTH BONDI 2026,New South Wales,Sydney
Tamarama,2026,TAMARAMA 2026,New South Wales,Sydney
Darling Point,2027,DARLING POINT 2027,New South Wales,Sydney
Edgecliff,2027,EDGECLIFF 2027,New South Wales,Sydney
Hmas Rushcutters,2027,HMAS RUSHCUTTERS 2027,New South Wales,Sydney
Point Piper,2027,POINT PIPER 2027,New South Wales,Sydney
Double Bay,2028,DOUBLE BAY 2028,New South Wales,Sydney
Rose Bay,2029,ROSE BAY 2029,New South Wales,Sydney
Dover Heights,2030,DOVER HEIGHTS 2030,New South Wales,Sydney
Hmas Watson,2030,HMAS WATSON 2030,New South Wales,Sydney
Rose Bay North,2030,ROSE BAY NORTH 2030,New South Wales,Sydney
Vaucluse,2030,VAUCLUSE 2030,New South Wales,Sydney
Watsons Bay,2030,WATSONS BAY 2030,New South Wales,Sydney
Clovelly,2031,CLOVELLY 2031,New South Wales,Sydney
Clovelly West,2031,CLOVELLY WEST 2031,New South Wales,Sydney
Randwick,2031,RANDWICK 2031,New South Wales,Sydney
St Pauls,2031,ST PAULS 2031,New South Wales,Sydney
Daceyville,2032,DACEYVILLE 2032,New South Wales,Sydney
Kingsford,2032,KINGSFORD 2032,New South Wales,Sydney
Kensington,2033,KENSINGTON 2033,New South Wales,Sydney
Coogee,2034,COOGEE 2034,New South Wales,Sydney
South Coogee,2034,SOUTH COOGEE 2034,New South Wales,Sydney
Maroubra,2035,MAROUBRA 2035,New South Wales,Sydney
Maroubra South,2035,MAROUBRA SOUTH 2035,New South Wales,Sydney
Pagewood,2035,PAGEWOOD 2035,New South Wales,Sydney
Chifley,2036,CHIFLEY 2036,New South Wales,Sydney
Eastgardens,2036,EASTGARDENS 2036,New South Wales,Sydney
Hillsdale,2036,HILLSDALE 2036,New South Wales,Sydney
La Perouse,2036,LA PEROUSE 2036,New South Wales,Sydney
Little Bay,2036,LITTLE BAY 2036,New South Wales,Sydney
Malabar,2036,MALABAR 2036,New South Wales,Sydney
Matraville,2036,MATRAVILLE 2036,New South Wales,Sydney
Phillip Bay,2036,PHILLIP BAY 2036,New South Wales,Sydney
Port Botany,2036,PORT BOTANY 2036,New South Wales,Sydney
Forest Lodge,2037,FOREST LODGE 2037,New South Wales,Sydney
Glebe,2037,GLEBE 2037,New South Wales,Sydney
Annandale,2038,ANNANDALE 2038,New South Wales,Sydney
Rozelle,2039,ROZELLE 2039,New South Wales,Sydney
Leichhardt,2040,LEICHHARDT 2040,New South Wales,Sydney
Lilyfield,2040,LILYFIELD 2040,New South Wales,Sydney
Balmain,2041,BALMAIN 2041,New South Wales,Sydney
Balmain East,2041,BALMAIN EAST 2041,New South Wales,Sydney
Birchgrove,2041,BIRCHGROVE 2041,New South Wales,Sydney
Enmore,2042,ENMORE 2042,New South Wales,Sydney
Newtown,2042,NEWTOWN 2042,New South Wales,Sydney
Erskineville,2043,ERSKINEVILLE 2043,New South Wales,Sydney
St Peters,2044,ST PETERS 2044,New South Wales,Sydney
Sydenham,2044,SYDENHAM 2044,New South Wales,Sydney
Tempe,2044,TEMPE 2044,New South Wales,Sydney
Haberfield,2045,HABERFIELD 2045,New South Wales,Sydney
Abbotsford,2046,ABBOTSFORD 2046,New South Wales,Sydney
Canada Bay,2046,CANADA BAY 2046,New South Wales,Sydney
Chiswick,2046,CHISWICK 2046,New South Wales,Sydney
Five Dock,2046,FIVE DOCK 2046,New South Wales,Sydney
Rodd Point,2046,RODD POINT 2046,New South Wales,Sydney
Russell Lea,2046,RUSSELL LEA 2046,New South Wales,Sydney
Wareemba,2046,WAREEMBA 2046,New South Wales,Sydney
Drummoyne,2047,DRUMMOYNE 2047,New South Wales,Sydney
Stanmore,2048,STANMORE 2048,New South Wales,Sydney
Westgate,2048,WESTGATE 2048,New South Wales,Sydney
Lewisham,2049,LEWISHAM 2049,New South Wales,Sydney
Petersham,2049,PETERSHAM 2049,New South Wales,Sydney
Petersham North,2049,PETERSHAM NORTH 2049,New South Wales,Sydney
Camperdown,2050,CAMPERDOWN 2050,New South Wales,Sydney
Missenden Road,2050,MISSENDEN ROAD 2050,New South Wales,Sydney
Unsw Sydney,2052,UNSW SYDNEY 2052,New South Wales,Sydney
