suburb,postcode,suburb_postcode,state_long,zone
Darwin,0800,DARWIN 0800,Northern Territory,Remote
Alawa,0810,ALAWA 0810,Northern Territory,Remote
Brinkin,0810,BRINKIN 0810,Northern Territory,Remote
Casuarina,0810,CASUARINA 0810,Northern Territory,Remote
Coconut Grove,0810,COCONUT GROVE 0810,Northern Territory,Remote
Jingili,0810,JINGILI 0810,Northern Territory,Remote
Lee Point,0810,LEE POINT 0810,Northern Territory,Remote
Lyons,0810,LYONS 0810,Northern Territory,Remote
Millner,0810,MILLNER 0810,Northern Territory,Remote
Moil,0810,MOIL 0810,Northern Territory,Remote
Muirhead,0810,MUIRHEAD 0810,Northern Territory,Remote
Nakara,0810,NAKARA 0810,Northern Territory,Remote
Nightcliff,0810,NIGHTCLIFF 0810,Northern Territory,Remote
Rapid Creek,0810,RAPID CREEK 0810,Northern Territory,Remote
Tiwi,0810,TIWI 0810,Northern Territory,Remote
Wagaman,0810,WAGAMAN 0810,Northern Territory,Remote
Wanguri,0810,WANGURI 0810,Northern Territory,Remote
Anula,0812,ANULA 0812,Northern Territory,Remote
Buffalo Creek,0812,BUFFALO CREEK 0812,Northern Territory,Remote
Holmes,0812,HOLMES 0812,Northern Territory,Remote
Karama,0812,KARAMA 0812,Northern Territory,Remote
Leanyer,0812,LEANYER 0812,Northern Territory,Remote
Malak,0812,MALAK 0812,Northern Territory,Remote
Marrara,0812,MARRARA 0812,Northern Territory,Remote
Sanderson,0812,SANDERSON 0812,Northern Territory,Remote
Woodleigh Gardens,0812,WOODLEIGH GARDENS 0812,Northern Territory,Remote
Wulagi,0812,WULAGI 0812,Northern Territory,Remote
Sanderson,0813,SANDERSON 0813,Northern Territory,Remote
Bagot,0820,BAGOT 0820,Northern Territory,Remote
Bayview,0820,BAYVIEW 0820,Northern Territory,Remote
Charles Darwin,0820,CHARLES DARWIN 0820,Northern Territory,Remote
Coonawarra,0820,COONAWARRA 0820,Northern Territory,Remote
Darwin DC,0820,DARWIN DC 0820,Northern Territory,Remote
Darwin International Airport,0820,DARWIN INTERNATIONAL AIRPORT 0820,Northern Territory,Remote
East Point,0820,EAST POINT 0820,Northern Territory,Remote
Eaton,0820,EATON 0820,Northern Territory,Remote
Fannie Bay,0820,FANNIE BAY 0820,Northern Territory,Remote
Larrakeyah,0820,LARRAKEYAH 0820,Northern Territory,Remote
Ludmilla,0820,LUDMILLA 0820,Northern Territory,Remote
Parap,0820,PARAP 0820,Northern Territory,Remote
Stuart Park,0820,STUART PARK 0820,Northern Territory,Remote
The Gardens,0820,THE GARDENS 0820,Northern Territory,Remote
The Narrows,0820,THE NARROWS 0820,Northern Territory,Remote
Winnellie,0820,WINNELLIE 0820,Northern Territory,Remote
Woolner,0820,WOOLNER 0820,Northern Territory,Remote
